CLIENTNUM,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit
789140283,53,M,Graduate,Single,$80K - $120K,Blue,2664
715550508,45,F,Unknown,Married,Unknown,Blue,2535
719712633,64,M,Graduate,Married,Less than $40K,Blue,1709
772629333,45,M,Graduate,Married,$40K - $60K,Blue,3454
720336708,53,M,Doctorate,Married,$40K - $60K,Blue,3789
802013583,56,M,College,Married,$120K +,Blue,9689
711887583,47,M,Unknown,Married,$80K - $120K,Blue,5449
714778833,49,F,College,Single,Unknown,Blue,23032
713843283,41,F,Unknown,Married,Unknown,Silver,34516
779155158,53,M,Graduate,Married,$120K +,Blue,2940
721091583,44,F,Graduate,Single,Less than $40K,Blue,3031
713572683,44,M,High School,Unknown,$60K - $80K,Blue,1862
716657058,43,F,Post-Graduate,Married,Less than $40K,Blue,8358
779509983,53,M,Post-Graduate,Single,$120K +,Blue,34516
717929133,44,M,Uneducated,Married,$60K - $80K,Blue,14450
808284783,62,F,Unknown,Married,Less than $40K,Blue,1438.3
708476808,54,M,Unknown,Divorced,$120K +,Blue,33791
710916408,57,M,Graduate,Married,$60K - $80K,Blue,8466
708492558,42,M,Unknown,Married,$60K - $80K,Blue,15088
799825758,42,M,High School,Divorced,$60K - $80K,Blue,3263
718619883,54,F,Uneducated,Married,Less than $40K,Blue,1494
711844758,48,M,Graduate,Single,$80K - $120K,Blue,13551
714798783,49,M,Graduate,Single,$80K - $120K,Blue,18886
826762908,52,M,High School,Unknown,$80K - $120K,Blue,11976
771894558,50,M,High School,Single,$80K - $120K,Blue,9964
721074183,49,M,Doctorate,Married,$60K - $80K,Blue,24159
715259583,53,F,High School,Married,Less than $40K,Blue,5362
718414008,50,M,Graduate,Single,$120K +,Blue,34516
719666283,55,F,Doctorate,Married,Less than $40K,Blue,3174
714877233,53,M,High School,Married,$80K - $120K,Blue,12262
785387883,47,F,High School,Single,$40K - $60K,Blue,3788
771075258,55,M,College,Single,$120K +,Silver,34516
711318033,47,M,Graduate,Single,$60K - $80K,Blue,2926
783554958,58,M,Graduate,Single,$120K +,Blue,32090
720201033,53,M,Graduate,Married,$80K - $120K,Blue,11669
718039683,52,M,High School,Single,$40K - $60K,Blue,13532
710806083,50,F,Uneducated,Unknown,Less than $40K,Silver,11888
714752208,42,F,Graduate,Married,Less than $40K,Blue,2393
822063408,43,M,Unknown,Married,$40K - $60K,Blue,6111
714490308,57,M,Graduate,Married,$80K - $120K,Blue,19270
713356833,52,M,Graduate,Married,$80K - $120K,Blue,3710
711402333,47,M,Doctorate,Single,Less than $40K,Blue,3235
708296883,44,F,Graduate,Single,$40K - $60K,Blue,11749
719154483,53,M,High School,Divorced,$60K - $80K,Blue,7753
717721458,45,M,College,Divorced,$60K - $80K,Blue,10408
711112683,63,F,College,Married,Unknown,Blue,3967
715674483,39,F,Post-Graduate,Single,Less than $40K,Blue,6205
789322833,48,F,High School,Married,Less than $40K,Blue,8025
789968058,51,M,Unknown,Single,$120K +,Blue,9036
709919283,54,M,Graduate,Married,$80K - $120K,Blue,14926
718744008,59,F,Graduate,Single,Less than $40K,Blue,6335
767712558,59,M,College,Single,$60K - $80K,Blue,14979
712950783,48,F,Uneducated,Married,Less than $40K,Blue,2732
716104983,41,F,Graduate,Single,Less than $40K,Blue,2250
818839983,55,M,Graduate,Married,$120K +,Blue,10916
772288758,47,F,Graduate,Married,Unknown,Blue,5349
712350858,41,M,High School,Married,$80K - $120K,Blue,9366
711009708,40,M,High School,Single,$80K - $120K,Blue,21617
712720158,68,M,Graduate,Married,Unknown,Blue,13860
712215258,50,F,Graduate,Single,$40K - $60K,Silver,18386
773827008,47,M,Uneducated,Single,$60K - $80K,Blue,2405
795232683,53,F,College,Married,Less than $40K,Blue,2154
713786508,42,F,Unknown,Married,$40K - $60K,Blue,2038
713539833,48,F,High School,Single,$40K - $60K,Blue,8135
712454058,49,M,Doctorate,Married,$120K +,Blue,9364
718759833,44,F,Uneducated,Married,Unknown,Silver,32643
718803333,43,F,Graduate,Divorced,Less than $40K,Blue,3195
720253908,56,M,High School,Married,$80K - $120K,Blue,2852
714133158,59,F,College,Single,Unknown,Blue,4224
713187033,46,M,Uneducated,Married,$60K - $80K,Blue,20459
714791208,47,F,Unknown,Divorced,Less than $40K,Blue,3482
772426383,50,F,Uneducated,Married,$40K - $60K,Blue,3065
710975883,51,F,Uneducated,Married,Less than $40K,Blue,2185
714264408,47,F,Uneducated,Married,Less than $40K,Blue,1611
715827858,58,F,Uneducated,Married,Less than $40K,Blue,2822
713741358,46,M,Graduate,Single,$80K - $120K,Blue,32975
709531908,53,M,High School,Married,$60K - $80K,Blue,1438.3
716493408,45,F,Uneducated,Divorced,Unknown,Blue,15875
714141108,52,F,High School,Married,Less than $40K,Blue,6703
708953883,53,M,Unknown,Married,$80K - $120K,Blue,3212
712608783,50,M,High School,Married,$80K - $120K,Silver,34516
820353558,41,F,High School,Married,$40K - $60K,Blue,9797
714964758,45,F,Graduate,Divorced,$40K - $60K,Blue,10400
716264358,53,M,Uneducated,Married,$80K - $120K,Blue,26792
717296808,67,F,Graduate,Married,Less than $40K,Blue,3006
712977183,57,F,Uneducated,Single,$40K - $60K,Silver,19482
710829108,59,F,Uneducated,Married,$40K - $60K,Blue,3356
779562633,45,M,Uneducated,Married,$40K - $60K,Blue,5771
715315833,51,M,Graduate,Married,$80K - $120K,Blue,11106
815500983,59,F,Uneducated,Married,Less than $40K,Blue,2890
719360583,53,M,Graduate,Married,$60K - $80K,Blue,3380
709701558,47,M,Graduate,Married,$60K - $80K,Blue,21331
721148358,49,F,Uneducated,Single,Unknown,Blue,12860
779862408,49,M,Post-Graduate,Single,$80K - $120K,Blue,6278
812627208,60,F,College,Single,Less than $40K,Blue,1438.3
711033408,50,F,High School,Married,Less than $40K,Blue,9355
779956608,41,F,Post-Graduate,Married,Unknown,Blue,20758
780376683,57,M,Graduate,Married,$80K - $120K,Blue,14612
717912483,43,M,Graduate,Unknown,$80K - $120K,Blue,27259
714454758,57,F,Graduate,Married,Less than $40K,Blue,6347
780466533,54,M,Doctorate,Married,$120K +,Blue,21592
715735233,51,F,Post-Graduate,Married,Less than $40K,Blue,3449
720476733,47,F,High School,Married,Less than $40K,Blue,6028
715872333,41,M,High School,Unknown,$120K +,Blue,18214
712375758,53,M,Uneducated,Married,$80K - $120K,Blue,16393
708868233,68,M,High School,Married,Less than $40K,Blue,1438.3
718030083,59,M,College,Married,$60K - $80K,Blue,7871
720707283,48,M,Unknown,Married,$80K - $120K,Blue,5288
771698658,44,M,Graduate,Married,$60K - $80K,Blue,11376
748326258,48,M,College,Married,$80K - $120K,Blue,12302
770817783,47,M,Graduate,Married,$60K - $80K,Silver,34516
779353083,47,M,Graduate,Married,$60K - $80K,Silver,34516
711441333,43,F,High School,Divorced,Less than $40K,Silver,10514
719808558,55,F,Graduate,Married,Less than $40K,Blue,1438.3
711551958,59,M,Post-Graduate,Married,$60K - $80K,Blue,1438.3
809164083,63,M,Graduate,Married,$40K - $60K,Blue,2619
820596183,58,M,College,Married,$120K +,Blue,24407
715999608,53,F,High School,Married,Less than $40K,Blue,2377
710565408,59,M,Unknown,Unknown,$80K - $120K,Silver,34516
805543158,52,M,Graduate,Married,$120K +,Blue,11086
709752183,48,M,High School,Single,$60K - $80K,Blue,11432
716479233,43,M,High School,Married,$40K - $60K,Blue,13258
713837058,48,M,College,Single,Less than $40K,Blue,2571
718876683,43,F,Graduate,Single,Less than $40K,Blue,5781
770746908,44,M,Unknown,Married,$60K - $80K,Blue,7872
794843883,41,M,High School,Married,$80K - $120K,Blue,34516
803043933,44,F,Uneducated,Divorced,Less than $40K,Silver,11127
758076408,50,M,Unknown,Single,$40K - $60K,Blue,1857
714606558,60,F,Uneducated,Married,Less than $40K,Blue,1913
778425408,44,M,Graduate,Single,$80K - $120K,Blue,3839
714171108,48,F,Graduate,Divorced,$40K - $60K,Blue,2115
719662458,44,F,Graduate,Divorced,Less than $40K,Blue,1438.3
713137233,41,M,High School,Single,$80K - $120K,Blue,27756
769425858,45,M,College,Single,$60K - $80K,Blue,1438.3
711297483,47,F,Uneducated,Divorced,Less than $40K,Silver,13878
788900883,51,F,Graduate,Married,Less than $40K,Blue,3106
758348808,51,M,Graduate,Married,$120K +,Blue,34516
772336458,60,F,Uneducated,Married,$40K - $60K,Blue,1438.3
708711483,57,M,Unknown,Married,$80K - $120K,Blue,18871
717906783,41,M,Graduate,Single,$120K +,Blue,5207
719437908,44,M,Post-Graduate,Divorced,$80K - $120K,Blue,17965
769433508,43,M,College,Single,$60K - $80K,Blue,2733
790096533,55,M,College,Married,$60K - $80K,Blue,8863
720997383,52,M,Uneducated,Married,$80K - $120K,Blue,1857
787541883,44,M,Graduate,Unknown,$80K - $120K,Blue,34516
709930758,41,M,Uneducated,Married,$40K - $60K,Blue,11107
789830058,44,M,Unknown,Single,$80K - $120K,Blue,21573
710299608,53,F,Unknown,Married,Less than $40K,Blue,2859
710741208,39,M,High School,Single,$80K - $120K,Blue,5269
821797008,49,M,College,Married,$40K - $60K,Blue,1438.3
708874533,45,F,College,Married,Less than $40K,Blue,3387
715341858,54,M,Graduate,Married,$80K - $120K,Blue,1982
793636308,49,M,Uneducated,Single,$80K - $120K,Blue,4645
713779908,46,F,Doctorate,Single,Unknown,Blue,2189
712125258,46,M,High School,Married,$120K +,Blue,2442
709703433,47,M,Graduate,Married,$60K - $80K,Blue,21304
721022433,44,M,Doctorate,Single,$60K - $80K,Blue,7577
710103558,50,M,Post-Graduate,Single,$120K +,Blue,3234
715952883,73,M,High School,Married,$40K - $60K,Blue,4469
719731458,56,M,Unknown,Unknown,$40K - $60K,Blue,2910
772390908,59,M,High School,Single,$40K - $60K,Blue,3616
787348608,70,M,High School,Married,Less than $40K,Blue,3252
709485033,55,F,High School,Married,Less than $40K,Blue,2358
715432608,43,M,Unknown,Single,$60K - $80K,Blue,22322
799471833,45,M,Uneducated,Single,$120K +,Blue,3133
714187533,45,F,Uneducated,Single,$40K - $60K,Blue,3540
779656908,40,M,Graduate,Married,$40K - $60K,Blue,6990
788950158,36,M,College,Unknown,$80K - $120K,Blue,34516
778867533,59,F,Post-Graduate,Married,$40K - $60K,Blue,1438.3
710620383,43,M,Unknown,Married,$60K - $80K,Blue,24396
778661358,46,F,Unknown,Married,Less than $40K,Blue,2474
789483333,41,M,Uneducated,Married,$40K - $60K,Blue,5214
809855808,51,F,Graduate,Married,Less than $40K,Blue,5207
718464258,51,F,Unknown,Unknown,Less than $40K,Blue,9512
708528483,43,F,Graduate,Divorced,Unknown,Blue,3187
771809733,64,F,High School,Married,$40K - $60K,Blue,3353
719942883,54,M,Graduate,Married,$60K - $80K,Blue,2290
807226683,48,M,Unknown,Single,$40K - $60K,Blue,5279
717806133,40,M,Uneducated,Divorced,$60K - $80K,Blue,23603
720615708,57,M,Uneducated,Married,$40K - $60K,Blue,2601
714511758,45,M,Graduate,Single,$80K - $120K,Blue,6363
715050408,41,M,High School,Single,$80K - $120K,Blue,8029
721132233,42,F,Uneducated,Married,Less than $40K,Blue,2410
719211558,45,M,Graduate,Single,$60K - $80K,Blue,3401
712069008,42,F,Uneducated,Married,Less than $40K,Blue,2260
715996983,47,M,Uneducated,Divorced,$80K - $120K,Blue,17682
773466258,48,F,High School,Married,$40K - $60K,Blue,4206
798983508,43,M,Graduate,Single,$80K - $120K,Silver,34516
719117433,41,M,High School,Unknown,$80K - $120K,Blue,23018
716451183,54,F,Uneducated,Married,$40K - $60K,Blue,5556
718621608,54,F,High School,Married,Unknown,Blue,6094
715085733,61,M,Graduate,Married,$40K - $60K,Blue,2939
788977833,61,M,Uneducated,Married,$80K - $120K,Blue,5362
720272958,48,M,High School,Married,$120K +,Blue,27126
708421833,45,F,Graduate,Single,Less than $40K,Blue,3342
709173108,54,F,Graduate,Married,Unknown,Blue,2532
709879458,54,F,Doctorate,Married,Unknown,Blue,1900
715120608,44,M,Graduate,Single,$60K - $80K,Blue,14546
770632758,50,F,Doctorate,Single,Unknown,Blue,2521
779078733,55,M,Doctorate,Married,$60K - $80K,Blue,16427
771742533,48,M,Graduate,Unknown,$40K - $60K,Blue,13068
720250158,45,M,College,Single,$60K - $80K,Blue,23218
716458983,60,M,High School,Married,$40K - $60K,Blue,3281
713747733,55,M,High School,Married,$40K - $60K,Blue,3096
712270158,62,F,High School,Married,$40K - $60K,Blue,2052
789562383,38,F,High School,Unknown,Less than $40K,Blue,1438.3
754897008,46,M,High School,Single,$40K - $60K,Blue,9432
819700533,50,M,High School,Single,$120K +,Silver,14938
712890408,45,M,Uneducated,Married,$60K - $80K,Blue,2221
720248208,47,M,Post-Graduate,Divorced,$60K - $80K,Blue,5731
779749908,48,M,College,Married,$60K - $80K,Gold,34516
717401883,35,M,Uneducated,Married,$60K - $80K,Blue,6985
721509558,51,M,Graduate,Married,$120K +,Blue,24221
710572458,36,F,High School,Married,Unknown,Blue,15439
714576183,47,M,Graduate,Single,$80K - $120K,Blue,21637
721425558,52,M,Graduate,Single,$120K +,Blue,14543
711109908,43,F,Uneducated,Married,Less than $40K,Blue,9684
715203108,63,M,High School,Married,$40K - $60K,Blue,5007
710027508,61,M,Graduate,Married,$60K - $80K,Blue,1616
787464408,53,M,Uneducated,Single,$60K - $80K,Blue,19116
783542133,53,F,Graduate,Married,Less than $40K,Blue,2759
708330858,57,M,Graduate,Married,$120K +,Blue,8249
714426783,38,F,Graduate,Single,Unknown,Blue,14041
712701333,53,M,High School,Married,$60K - $80K,Blue,5264
709494483,63,F,Unknown,Married,Less than $40K,Blue,2420
773373108,49,F,High School,Married,Less than $40K,Blue,2826
715812258,45,M,High School,Married,$80K - $120K,Blue,12518
778286433,67,M,Graduate,Married,$40K - $60K,Blue,5876
789270033,48,M,Graduate,Single,$80K - $120K,Silver,34516
711569433,51,F,Uneducated,Divorced,Less than $40K,Blue,9648
720214833,52,M,High School,Single,$80K - $120K,Silver,34516
709346133,55,F,Uneducated,Married,Unknown,Blue,3025
788194458,34,M,High School,Married,$60K - $80K,Blue,3265
720779733,56,M,Uneducated,Married,$120K +,Blue,6041
717424458,44,F,Post-Graduate,Married,Less than $40K,Blue,2293
708820308,47,M,Post-Graduate,Unknown,$80K - $120K,Blue,13399
710558058,46,F,Unknown,Married,Less than $40K,Blue,4317
770590758,43,F,Graduate,Single,$40K - $60K,Blue,3378
718490658,50,F,Graduate,Single,Less than $40K,Blue,5012
711985833,38,F,Uneducated,Single,Less than $40K,Blue,2569
708967608,53,F,Graduate,Single,Less than $40K,Blue,3471
718505958,43,M,Graduate,Divorced,$120K +,Silver,34516
715024233,53,M,High School,Married,$120K +,Blue,3312
779249583,56,F,Graduate,Married,Less than $40K,Blue,2578
709278258,54,M,Unknown,Married,$40K - $60K,Blue,2902
778928283,57,F,High School,Married,Less than $40K,Blue,2742
712299858,62,M,High School,Married,Less than $40K,Blue,2077
799224108,46,F,Graduate,Single,Less than $40K,Blue,6265
809976033,49,M,Uneducated,Married,$60K - $80K,Blue,7819
716203308,52,M,Graduate,Single,$80K - $120K,Blue,2731
714871683,58,M,Uneducated,Married,$40K - $60K,Blue,1438.3
716139933,54,M,High School,Married,$80K - $120K,Blue,16286
716984658,49,M,Graduate,Married,$120K +,Blue,34516
713086008,58,F,High School,Married,Less than $40K,Blue,2609
713773458,52,M,High School,Single,$60K - $80K,Blue,7567
719242533,41,M,High School,Married,$60K - $80K,Blue,22770
772712658,62,F,Uneducated,Married,Less than $40K,Blue,3791
788868858,54,M,Graduate,Married,Less than $40K,Blue,2702
811898133,40,F,High School,Divorced,Less than $40K,Blue,2555
788808633,43,M,Graduate,Married,$80K - $120K,Blue,2355
779804208,53,F,Graduate,Single,$40K - $60K,Blue,5332
781391058,55,M,Uneducated,Single,$40K - $60K,Blue,1443
790134408,46,M,Graduate,Single,$60K - $80K,Blue,10741
788853258,41,M,Uneducated,Married,$60K - $80K,Blue,7984
711857733,49,M,Uneducated,Single,$60K - $80K,Blue,18584
822969858,61,F,Graduate,Married,Unknown,Blue,5585
719554758,46,M,Uneducated,Married,$80K - $120K,Blue,34516
711643458,50,F,Uneducated,Married,Less than $40K,Blue,1438.3
788830683,40,M,Graduate,Single,$80K - $120K,Blue,2478
807030858,51,M,High School,Single,$120K +,Blue,34516
793059108,50,F,Graduate,Married,$40K - $60K,Blue,2339
716568708,47,F,Graduate,Married,Less than $40K,Blue,2726
828281733,43,M,Unknown,Married,$120K +,Blue,14881
717229158,36,F,Graduate,Married,$40K - $60K,Blue,1628
715915458,47,F,Graduate,Married,Less than $40K,Blue,3156
819129858,46,F,Graduate,Single,Less than $40K,Blue,4745
713441958,46,M,High School,Married,$120K +,Blue,19727
719091333,52,M,Uneducated,Married,$60K - $80K,Blue,22720
708666258,43,M,Unknown,Married,$40K - $60K,Blue,8129
714914583,40,F,Graduate,Single,Less than $40K,Blue,3751
714363858,54,F,High School,Married,Less than $40K,Blue,1594
721347408,55,F,High School,Single,Less than $40K,Blue,2569
809608533,49,F,Post-Graduate,Single,Unknown,Blue,18206
772047183,45,M,High School,Married,$40K - $60K,Blue,3104
714217908,49,M,Graduate,Married,$40K - $60K,Blue,2406
714819183,63,M,Uneducated,Married,$80K - $120K,Blue,24571
716455683,40,F,High School,Single,Less than $40K,Gold,15534
710865633,41,F,Graduate,Married,Less than $40K,Silver,12301
752952108,37,M,Graduate,Married,$80K - $120K,Blue,2846
712595433,58,M,Uneducated,Unknown,$120K +,Blue,9788
714982383,55,M,High School,Married,$60K - $80K,Blue,7231
813814008,53,F,High School,Married,Less than $40K,Blue,2324
794545983,57,M,Graduate,Married,$80K - $120K,Blue,12208
708288108,43,M,Post-Graduate,Unknown,$80K - $120K,Blue,5639
715585158,58,M,Graduate,Married,$60K - $80K,Blue,10021
810449883,64,M,Unknown,Married,Less than $40K,Blue,2215
789863208,54,F,Graduate,Married,Less than $40K,Blue,2027
715022133,53,M,Graduate,Married,$60K - $80K,Blue,6363
712506708,39,F,College,Single,Less than $40K,Blue,3920
715699983,56,M,High School,Married,$60K - $80K,Blue,9226
818942433,54,F,Unknown,Divorced,Less than $40K,Blue,9376
712459233,59,F,Post-Graduate,Married,$40K - $60K,Blue,1944
716545383,42,M,Uneducated,Single,$40K - $60K,Blue,9599
721144383,42,M,Graduate,Married,$60K - $80K,Silver,28202
821837958,43,M,College,Unknown,$80K - $120K,Blue,24850
804359133,55,M,High School,Married,$120K +,Blue,3805
713308683,52,M,Uneducated,Single,$80K - $120K,Blue,2733
788780958,46,M,Uneducated,Unknown,$40K - $60K,Blue,12781
717354558,57,M,Uneducated,Married,$120K +,Blue,3106
798473808,48,M,College,Married,$80K - $120K,Blue,7477
712372158,45,M,Unknown,Married,$120K +,Blue,34516
715192308,48,M,High School,Married,$120K +,Blue,29963
708813033,47,M,Graduate,Single,$40K - $60K,Blue,6509
714639783,42,M,College,Married,$60K - $80K,Blue,13450
709311633,41,M,Graduate,Unknown,$60K - $80K,Silver,27000
709470858,51,M,College,Married,$120K +,Silver,34516
717292758,55,F,Graduate,Single,Less than $40K,Blue,6347
779241783,67,M,Uneducated,Married,$40K - $60K,Blue,3106
715205358,39,M,Graduate,Married,$60K - $80K,Blue,2536
778871508,54,M,Post-Graduate,Single,$60K - $80K,Blue,13048
779462433,55,F,Unknown,Married,Less than $40K,Blue,2453
710147958,47,M,High School,Married,$40K - $60K,Silver,16138
709864833,49,M,Post-Graduate,Married,$60K - $80K,Blue,8077
778868958,42,F,Graduate,Married,Less than $40K,Blue,1929
717276708,57,M,Unknown,Single,$80K - $120K,Blue,3127
710004933,44,M,Uneducated,Married,$60K - $80K,Blue,8645
753606108,56,M,Unknown,Single,$60K - $80K,Blue,1438.3
710940183,49,F,Graduate,Married,Less than $40K,Blue,2185
718927533,45,M,Graduate,Single,$80K - $120K,Blue,24487
719337408,63,M,High School,Married,$60K - $80K,Blue,2567
772308408,44,M,Graduate,Single,$80K - $120K,Blue,4131
712981383,44,F,College,Married,Less than $40K,Silver,10790
790099758,40,M,High School,Married,$40K - $60K,Blue,6884
709547658,39,M,Uneducated,Single,$60K - $80K,Blue,13961
778770783,42,M,High School,Married,$80K - $120K,Blue,29801
713134458,54,M,High School,Married,$120K +,Blue,13219
712159083,58,F,Unknown,Married,Less than $40K,Blue,2536
713639958,46,F,Graduate,Divorced,Less than $40K,Blue,9478
771180033,47,F,Unknown,Divorced,$40K - $60K,Blue,3502
717916758,67,F,Unknown,Married,Unknown,Blue,10509
711089733,50,F,College,Divorced,Less than $40K,Blue,1491
716988633,55,M,High School,Divorced,$60K - $80K,Blue,9734
779031033,46,F,Graduate,Married,$40K - $60K,Blue,2305
716302383,47,F,Uneducated,Married,$40K - $60K,Blue,14241
718281408,36,F,Unknown,Married,$40K - $60K,Blue,4789
721333233,40,M,Doctorate,Divorced,$60K - $80K,Blue,23138
794496033,57,M,Unknown,Single,$80K - $120K,Blue,23008
710519433,48,M,Unknown,Divorced,$80K - $120K,Blue,3131
814995933,58,F,Graduate,Married,Less than $40K,Blue,5798
721469433,48,M,Graduate,Single,$40K - $60K,Blue,6880
788386908,48,M,Graduate,Unknown,$80K - $120K,Platinum,34516
717198633,53,F,College,Married,$40K - $60K,Blue,2075
767695083,50,M,Graduate,Married,$80K - $120K,Blue,4589
711791583,52,F,Graduate,Single,Less than $40K,Blue,2317
712315683,53,F,Uneducated,Single,Less than $40K,Blue,1981
710038008,56,F,Graduate,Single,$40K - $60K,Blue,6038
789129033,44,M,Unknown,Single,$80K - $120K,Blue,14910
718349058,49,M,High School,Married,$80K - $120K,Blue,29659
789842283,54,M,Graduate,Married,$60K - $80K,Blue,4320
714513033,39,F,Unknown,Single,$40K - $60K,Blue,11213
714717483,39,F,Uneducated,Divorced,Unknown,Blue,26181
714900408,41,F,High School,Single,Less than $40K,Blue,5773
719418933,53,M,Uneducated,Married,$80K - $120K,Blue,4503
720115683,47,M,Uneducated,Married,$80K - $120K,Blue,29770
779504058,46,F,Post-Graduate,Married,Less than $40K,Blue,5014
795979833,53,F,High School,Married,Less than $40K,Blue,3445
